2024-07-21 14:43:02.014 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  Starting OnlineShopProjectApplication using Java 22.0.1 with PID 3732 (/Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject/target/classes started by andrii.vytiahanets in /Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject)
2024-07-21 14:43:02.018 | main                      | DEBUG | com.example.onlineshopproject.OnlineShopProjectApplication              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-21 14:43:02.020 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  No active profile set, falling back to 1 default profile: "default"
2024-07-21 14:43:08.629 | main                      | DEBUG | com.example.onlineshopproject.security.jwt.JwtFilter                    -  Filter 'jwtFilter' configured for use
2024-07-21 14:43:25.151 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  Started OnlineShopProjectApplication in 25.286 seconds (process running for 28.921)
2024-07-21 15:13:49.820 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  Starting OnlineShopProjectApplication using Java 22.0.1 with PID 4045 (/Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject/target/classes started by andrii.vytiahanets in /Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject)
2024-07-21 15:13:49.823 | main                      | DEBUG | com.example.onlineshopproject.OnlineShopProjectApplication              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-21 15:13:49.824 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  No active profile set, falling back to 1 default profile: "default"
2024-07-21 15:14:10.496 | main                      | DEBUG | com.example.onlineshopproject.security.jwt.JwtFilter                    -  Filter 'jwtFilter' configured for use
2024-07-21 15:14:31.501 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  Started OnlineShopProjectApplication in 45.714 seconds (process running for 50.391)
2024-07-21 15:16:44.295 | http-nio-8080-exec-1      | INFO  | com.example.onlineshopproject.controller.LoadController                 -  Loading single document start.
2024-07-21 15:17:55.959 | http-nio-8080-exec-1      | INFO  | com.example.onlineshopproject.controller.LoadController                 -  Loading single document end.
2024-07-21 15:19:16.819 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  Starting OnlineShopProjectApplication using Java 22.0.1 with PID 4104 (/Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject/target/classes started by andrii.vytiahanets in /Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject)
2024-07-21 15:19:16.820 | main                      | DEBUG | com.example.onlineshopproject.OnlineShopProjectApplication              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-21 15:19:16.822 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  No active profile set, falling back to 1 default profile: "default"
2024-07-21 15:19:22.797 | main                      | DEBUG | com.example.onlineshopproject.security.jwt.JwtFilter                    -  Filter 'jwtFilter' configured for use
2024-07-21 15:19:33.816 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  Started OnlineShopProjectApplication in 18.103 seconds (process running for 20.149)
2024-07-21 15:32:52.867 | http-nio-8080-exec-7      | INFO  | com.example.onlineshopproject.controller.LoadController                 -  Loading single document start.
2024-07-21 15:32:55.096 | http-nio-8080-exec-7      | INFO  | com.example.onlineshopproject.controller.LoadController                 -  Loading single document end.
2024-07-21 15:38:50.622 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  Starting OnlineShopProjectApplication using Java 22.0.1 with PID 4248 (/Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject/target/classes started by andrii.vytiahanets in /Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject)
2024-07-21 15:38:50.634 | main                      | DEBUG | com.example.onlineshopproject.OnlineShopProjectApplication              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-21 15:38:50.635 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  No active profile set, falling back to 1 default profile: "default"
2024-07-21 15:38:56.152 | main                      | DEBUG | com.example.onlineshopproject.security.jwt.JwtFilter                    -  Filter 'jwtFilter' configured for use
2024-07-21 15:39:07.448 | main                      | ERROR | com.example.onlineshopproject.configuration.TelegramConfiguration       -  Exception during registration Telegram API: Error removing old webhook
2024-07-21 15:40:59.247 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  Starting OnlineShopProjectApplication using Java 22.0.1 with PID 4270 (/Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject/target/classes started by andrii.vytiahanets in /Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject)
2024-07-21 15:40:59.248 | main                      | DEBUG | com.example.onlineshopproject.OnlineShopProjectApplication              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-21 15:40:59.251 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  No active profile set, falling back to 1 default profile: "default"
2024-07-21 15:41:06.327 | main                      | DEBUG | com.example.onlineshopproject.security.jwt.JwtFilter                    -  Filter 'jwtFilter' configured for use
2024-07-21 15:41:18.786 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  Started OnlineShopProjectApplication in 21.488 seconds (process running for 24.448)
2024-07-21 15:44:08.378 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  Starting OnlineShopProjectApplication using Java 22.0.1 with PID 4329 (/Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject/target/classes started by andrii.vytiahanets in /Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject)
2024-07-21 15:44:08.379 | main                      | DEBUG | com.example.onlineshopproject.OnlineShopProjectApplication              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-21 15:44:08.381 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  No active profile set, falling back to 1 default profile: "default"
2024-07-21 15:44:12.839 | main                      | DEBUG | com.example.onlineshopproject.security.jwt.JwtFilter                    -  Filter 'jwtFilter' configured for use
2024-07-21 15:44:33.678 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  Started OnlineShopProjectApplication in 27.419 seconds (process running for 30.058)
2024-07-21 15:47:10.169 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  Starting OnlineShopProjectApplication using Java 22.0.1 with PID 4353 (/Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject/target/classes started by andrii.vytiahanets in /Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject)
2024-07-21 15:47:10.171 | main                      | DEBUG | com.example.onlineshopproject.OnlineShopProjectApplication              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-21 15:47:10.173 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  No active profile set, falling back to 1 default profile: "default"
2024-07-21 15:47:15.662 | main                      | DEBUG | com.example.onlineshopproject.security.jwt.JwtFilter                    -  Filter 'jwtFilter' configured for use
2024-07-21 15:47:28.430 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  Started OnlineShopProjectApplication in 19.6 seconds (process running for 21.435)
2024-07-21 15:49:17.362 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  Starting OnlineShopProjectApplication using Java 22.0.1 with PID 4373 (/Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject/target/classes started by andrii.vytiahanets in /Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject)
2024-07-21 15:49:17.375 | main                      | DEBUG | com.example.onlineshopproject.OnlineShopProjectApplication              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-21 15:49:17.377 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  No active profile set, falling back to 1 default profile: "default"
2024-07-21 15:49:22.054 | main                      | DEBUG | com.example.onlineshopproject.security.jwt.JwtFilter                    -  Filter 'jwtFilter' configured for use
2024-07-21 15:49:33.136 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  Started OnlineShopProjectApplication in 16.729 seconds (process running for 18.356)
2024-07-21 15:54:22.133 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  Starting OnlineShopProjectApplication using Java 22.0.1 with PID 4416 (/Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject/target/classes started by andrii.vytiahanets in /Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject)
2024-07-21 15:54:22.138 | main                      | DEBUG | com.example.onlineshopproject.OnlineShopProjectApplication              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-21 15:54:22.141 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  No active profile set, falling back to 1 default profile: "default"
